Date,NumMosquitos,WnvPresent,Latitude,Longitude,Tmax,Tmin,Tavg,DewPoint,WetBulb,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,HCDiff,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS
2007-05-29,1,0,41.95469,-87.800991,80.0,57.0,69.0,56.0,61.0,432.0,1904.0,0.38,29.13,29.84,8.1,27.0,12.3,-4.0,0,1,0
2007-05-29,1,0,41.95469,-87.800991,80.0,57.0,69.0,56.0,61.0,432.0,1904.0,0.38,29.13,29.84,8.1,27.0,12.3,-4.0,0,0,1
2007-05-29,1,0,41.994991,-87.769279,80.0,57.0,69.0,56.0,61.0,432.0,1904.0,0.38,29.13,29.84,8.1,27.0,12.3,-4.0,0,0,1
2007-05-29,1,0,41.974089,-87.824812,80.0,57.0,69.0,56.0,61.0,432.0,1904.0,0.38,29.13,29.84,8.1,27.0,12.3,-4.0,0,1,0
2007-05-29,4,0,41.974089,-87.824812,80.0,57.0,69.0,56.0,61.0,432.0,1904.0,0.38,29.13,29.84,8.1,27.0,12.3,-4.0,0,0,1
2007-05-29,2,0,41.9216,-87.666455,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,1,0,41.891118,-87.65449100000001,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,1,0,41.867108,-87.654224,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,1,0
2007-05-29,2,0,41.867108,-87.654224,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,1,0,41.896282,-87.655232,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,1,0,41.919343,-87.694259,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,1,0
2007-05-29,2,0,41.921965,-87.632085,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,1,0
2007-05-29,3,0,41.921965,-87.632085,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,1,0,41.688324,-87.676709,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,1,0
2007-05-29,1,0,41.688324,-87.676709,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,1,0,41.862292,-87.64886,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,3,0,41.720848,-87.666014,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,1,0,41.731922,-87.677512,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,1,0,0
2007-05-29,5,0,41.731922,-87.677512,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,1,0,41.891126,-87.61156,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,1,0
2007-05-29,2,0,41.891126,-87.61156,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,1,0,41.999128999999996,-87.795585,80.0,57.0,69.0,56.0,61.0,432.0,1904.0,0.38,29.13,29.84,8.1,27.0,12.3,-4.0,0,1,0
2007-05-29,1,0,42.01743,-87.68776899999999,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,1,0
2007-05-29,1,0,41.907645,-87.760886,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-05-29,1,0,41.732984,-87.649642,82.0,56.0,69.0,56.0,61.0,432.0,1904.0,0.6,29.19,29.83,8.1,25.0,10.8,-4.0,0,0,1
2007-06-05,1,0,41.95469,-87.800991,87.0,55.0,71.0,46.0,58.0,425.0,1911.0,0.0,29.34,30.06,10.0,18.0,10.2,-6.0,1,0,0
2007-06-05,3,0,41.95469,-87.800991,87.0,55.0,71.0,46.0,58.0,425.0,1911.0,0.0,29.34,30.06,10.0,18.0,10.2,-6.0,0,1,0
2007-06-05,5,0,41.95469,-87.800991,87.0,55.0,71.0,46.0,58.0,425.0,1911.0,0.0,29.34,30.06,10.0,18.0,10.2,-6.0,0,0,1
2007-06-05,1,0,41.974089,-87.824812,87.0,55.0,71.0,46.0,58.0,425.0,1911.0,0.0,29.34,30.06,10.0,18.0,10.2,-6.0,0,1,0
2007-06-05,2,0,41.974089,-87.824812,87.0,55.0,71.0,46.0,58.0,425.0,1911.0,0.0,29.34,30.06,10.0,18.0,10.2,-6.0,0,0,1
2007-06-05,1,0,41.9216,-87.666455,87.0,60.0,74.0,44.0,58.0,425.0,1911.0,0.0,29.41,30.05,10.1,16.0,10.6,-9.0,1,0,0
2007-06-05,1,0,41.9216,-87.666455,87.0,60.0,74.0,44.0,58.0,425.0,1911.0,0.0,29.41,30.05,10.1,16.0,10.6,-9.0,0,1,0
2007-06-05,2,0,41.9216,-87.666455,87.0,60.0,74.0,44.0,58.0,425.0,1911.0,0.0,29.41,30.05,10.1,16.0,10.6,-9.0,0,0,1
2007-06-05,1,0,41.891118,-87.65449100000001,87.0,60.0,74.0,44.0,58.0,425.0,1911.0,0.0,29.41,30.05,10.1,16.0,10.6,-9.0,0,0,1
2007-06-05,2,0,41.867108,-87.654224,87.0,60.0,74.0,44.0,58.0,425.0,1911.0,0.0,29.41,30.05,10.1,16.0,10.6,-9.0,1,0,0
2007-06-05,1,0,41.867108,-87.654224,87.0,60.0,74.0,44.0,58.0,425.0,1911.0,0.0,29.41,30.05,10.1,16.0,10.6,-9.0,0,1,0
2007-06-05,1,0,41.867108,-87.654224,87.0,60.0,74.0,44.0,58.0,425.0,1911.0,0.0,29.41,30.05,10.1,16.0,10.6,-9.0,0,0,1
2007-06-05,2,0,41.896282,-87.655232,87.0,60.0,74.0,44.0,58.0,425.0,1911.0,0.0,29.41,30.05,10.1,16.0,10.6,-9.0,0,0,1
2007-06-05,1,0,41.919343,-87.694259,87.0,60.0,74.0,44.0,58.0,425.0,1911.0,0.0,29.41,30.05,10.1,16.0,10.6,-9.0,0,1,0
